task_id,repo,condition,model,pred_index,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage,majority_category,unanimous,has_unique_majority,annotator_11_category,annotator_11_confidence,annotator_11_supported,annotator_11_path_grounded,annotator_11_needs_discussion,annotator_11_notes,annotator_12_category,annotator_12_confidence,annotator_12_supported,annotator_12_path_grounded,annotator_12_needs_discussion,annotator_12_notes,annotator_13_category,annotator_13_confidence,annotator_13_supported,annotator_13_path_grounded,annotator_13_needs_discussion,annotator_13_notes
adityagoyal222__django-lms::oracle_upper_bound::deepseek-v4-pro::4,adityagoyal222__django-lms,oracle_upper_bound,deepseek-v4-pro,4,Teacher,Create Assignment,"A teacher creates an assignment for a specific course, setting a due date.",assignments/urls.py | assignments/views.py | assignments/forms.py,Create assignment,1.0,0.4286,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Oracle evidence directly supports assignment creation.,matched_supported_goal,high,True,True,False,Oracle evidence directly supports assignment creation.,matched_supported_goal,high,True,True,False,Oracle evidence directly supports assignment creation.
adityagoyal222__django-lms::oracle_upper_bound::deepseek-v4-pro::5,adityagoyal222__django-lms,oracle_upper_bound,deepseek-v4-pro,5,Student,Submit Assignment,A student submits a completed assignment by uploading a file and providing details.,assignments/urls.py | assignments/views.py | assignments/forms.py,Update assignment,1.0,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Oracle evidence directly supports assignment submission.,matched_supported_goal,high,True,True,False,Oracle evidence directly supports assignment submission.,matched_supported_goal,high,True,True,False,Oracle evidence directly supports assignment submission.
adityagoyal222__django-lms::oracle_upper_bound::deepseek-v4-pro::6,adityagoyal222__django-lms,oracle_upper_bound,deepseek-v4-pro,6,Teacher,Grade Submission,A teacher grades a student's assignment submission with a numeric score.,assignments/urls.py | assignments/views.py | assignments/forms.py,Grade assignment submission,0.6667,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Oracle evidence directly supports grading submissions.,matched_supported_goal,high,True,True,False,Oracle evidence directly supports grading submissions.,matched_supported_goal,high,True,True,False,Oracle evidence directly supports grading submissions.
adityagoyal222__django-lms::oracle_upper_bound::deepseek-v4-pro::7,adityagoyal222__django-lms,oracle_upper_bound,deepseek-v4-pro,7,Teacher,Upload Resource,A teacher uploads a resource file for a course.,resources/urls.py | resources/views.py | resources/forms.py,Create course resource,0.5783,0.4286,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Oracle evidence directly supports resource upload.,matched_supported_goal,medium,True,True,False,Oracle evidence directly supports resource upload.,matched_supported_goal,medium,True,True,False,Oracle evidence directly supports resource upload.
engripaye__library-management-system::readme_only::deepseek-v4-pro::0,engripaye__library-management-system,readme_only,deepseek-v4-pro,0,Library Staff,Add Book,A staff member adds a new book to the library catalog via the API.,POST /api/books,Add book,1.0,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,POST /api/books directly supports adding a book.,matched_supported_goal,high,True,True,False,POST /api/books directly supports adding a book.,matched_supported_goal,high,True,True,False,POST /api/books directly supports adding a book.
engripaye__library-management-system::readme_only::deepseek-v4-pro::1,engripaye__library-management-system,readme_only,deepseek-v4-pro,1,Library Staff,Update Book,A staff member updates an existing book's details.,PUT /api/books/{id},Add book,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,PUT /api/books/{id} directly supports updating a book.,readme_overgeneralization,medium,False,False,False,PUT /api/books/{id} directly supports updating a book.,readme_overgeneralization,medium,False,False,False,PUT /api/books/{id} directly supports updating a book.
engripaye__library-management-system::readme_only::deepseek-v4-pro::2,engripaye__library-management-system,readme_only,deepseek-v4-pro,2,Library Staff,Delete Book,A staff member removes a book from the library catalog.,DELETE /api/books/{id},Add book,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,DELETE /api/books/{id} directly supports deleting a book.,readme_overgeneralization,medium,False,False,False,DELETE /api/books/{id} directly supports deleting a book.,readme_overgeneralization,medium,False,False,False,DELETE /api/books/{id} directly supports deleting a book.
engripaye__library-management-system::readme_only::deepseek-v4-pro::3,engripaye__library-management-system,readme_only,deepseek-v4-pro,3,Library User,Search Books,A user searches the library catalog for books.,GET /api/books | GET /api/books/{id},List books,1.0,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,GET book endpoints directly support searching/browsing books.,matched_supported_goal,high,True,True,False,GET book endpoints directly support searching/browsing books.,matched_supported_goal,high,True,True,False,GET book endpoints directly support searching/browsing books.
engripaye__library-management-system::readme_only::deepseek-v4-pro::4,engripaye__library-management-system,readme_only,deepseek-v4-pro,4,Library User,Register User,A new user creates a library account.,POST /api/users,Register library user,0.6667,0.2,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,POST /api/users directly supports user registration.,matched_supported_goal,medium,True,True,False,POST /api/users directly supports user registration.,matched_supported_goal,medium,True,True,False,POST /api/users directly supports user registration.
engripaye__library-management-system::readme_only::deepseek-v4-pro::5,engripaye__library-management-system,readme_only,deepseek-v4-pro,5,Library Staff,View All Users,A staff member retrieves the list of all registered users.,GET /api/users,List library users,0.2593,,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,GET /api/users directly supports viewing all users.,readme_overgeneralization,medium,False,False,False,GET /api/users directly supports viewing all users.,readme_overgeneralization,medium,False,False,False,GET /api/users directly supports viewing all users.
engripaye__library-management-system::readme_only::deepseek-v4-pro::6,engripaye__library-management-system,readme_only,deepseek-v4-pro,6,Library User,Borrow Book,A user borrows a book from the library.,POST /api/borrow/{bookId}/user/{userId},Borrow book,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Borrow endpoint directly supports borrowing books.,matched_supported_goal,high,True,True,False,Borrow endpoint directly supports borrowing books.,matched_supported_goal,high,True,True,False,Borrow endpoint directly supports borrowing books.
engripaye__library-management-system::readme_only::deepseek-v4-pro::7,engripaye__library-management-system,readme_only,deepseek-v4-pro,7,Library User,Return Book,A user returns a previously borrowed book.,POST /api/return/{bookId}/user/{userId},Return borrowed book,0.6667,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Return endpoint directly supports returning books.,matched_supported_goal,medium,True,True,False,Return endpoint directly supports returning books.,matched_supported_goal,medium,True,True,False,Return endpoint directly supports returning books.
engripaye__library-management-system::file_tree_only::deepseek-v4-pro::0,engripaye__library-management-system,file_tree_only,deepseek-v4-pro,0,Librarian,Manage Books,"A librarian uses REST endpoints to add, modify, or delete books in the library catalog.",src/main/java/org/engripaye/librarymanagementsystem (presumed REST controllers) | README.md (project description),Add book,0.3368,0.1667,matched_goal_missing_or_wrong_path,True,True,matched_goal_missing_or_wrong_path,medium,True,False,False,"Managing books is plausible, but the cited package-level/project-description evidence is too weakly grounded.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Managing books is plausible, but the cited package-level/project-description evidence is too weakly grounded.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Annotator 13: book management is supported broadly, but package/file context is too coarse for a precise path."
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::0,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,0,User,Search Books,Search for books by title or author using a keyword.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java: search endpoint | BookService.java: search method,Search books,1.0,0.2,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller search endpoint and service method directly support searching books.,matched_supported_goal,high,True,True,False,Controller search endpoint and service method directly support searching books.,matched_supported_goal,high,True,True,False,Controller search endpoint and service method directly support searching books.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::1,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,1,User,List All Books,Retrieve a complete list of all books in the library catalog.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java: list endpoint,List books,0.6667,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,BookController list endpoint directly supports listing books.,matched_supported_goal,high,True,True,False,BookController list endpoint directly supports listing books.,matched_supported_goal,high,True,True,False,BookController list endpoint directly supports listing books.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::2,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,2,User,View Book Details,View detailed information about a specific book using its ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java: get by id endpoint,View book detail,0.5,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,BookController get-by-id endpoint directly supports viewing book details.,matched_supported_goal,high,True,True,False,BookController get-by-id endpoint directly supports viewing book details.,matched_supported_goal,high,True,True,False,BookController get-by-id endpoint directly supports viewing book details.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::3,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,3,User,Add New Book,"Add a new book to the library collection with details like title, author, and ISBN.",src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java: create endpoint | BookService.java: create method,Add book,0.6667,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,BookController create endpoint and service directly support adding books.,matched_supported_goal,medium,True,True,False,BookController create endpoint and service directly support adding books.,matched_supported_goal,medium,True,True,False,BookController create endpoint and service directly support adding books.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::4,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,4,User,Register User,Register a new library user with full name and email.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java: create endpoint | UserService.java: create method,Register library user,0.6667,0.2,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,UserController create endpoint and service directly support registering users.,matched_supported_goal,high,True,True,False,UserController create endpoint and service directly support registering users.,matched_supported_goal,high,True,True,False,UserController create endpoint and service directly support registering users.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::5,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,5,User,List All Users,View a list of all registered library users.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java: list endpoint,List library users,0.5,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,UserController list endpoint directly supports listing users.,matched_supported_goal,high,True,True,False,UserController list endpoint directly supports listing users.,matched_supported_goal,high,True,True,False,UserController list endpoint directly supports listing users.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::6,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,6,User,Borrow Book,"Borrow a book by specifying the user, the book, and an optional loan period.",src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java: borrow endpoint | LoanService.java: borrow method,Borrow book,1.0,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,LoanController borrow endpoint and service directly support borrowing books.,matched_supported_goal,high,True,True,False,LoanController borrow endpoint and service directly support borrowing books.,matched_supported_goal,high,True,True,False,LoanController borrow endpoint and service directly support borrowing books.
engripaye__library-management-system::readme_plus_code::deepseek-v4-pro::7,engripaye__library-management-system,readme_plus_code,deepseek-v4-pro,7,User,Return Book,Return a borrowed book using the loan ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java: returnBook endpoint | LoanService.java: returnBook method,Return borrowed book,0.6667,0.2,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,LoanController return endpoint and service directly support returning books.,matched_supported_goal,high,True,True,False,LoanController return endpoint and service directly support returning books.,matched_supported_goal,high,True,True,False,LoanController return endpoint and service directly support returning books.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::0,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,0,Librarian,Create user,Register a new library member with full name and email.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java | src/main/java/org/engripaye/librarymanagementsystem/service/UserService.java | src/main/java/org/engripaye/librarymanagementsystem/m...,Register library user,0.4333,0.6,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,User controller/service/model directly support creating users.,matched_supported_goal,high,True,True,False,User controller/service/model directly support creating users.,matched_supported_goal,high,True,True,False,User controller/service/model directly support creating users.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::1,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,1,Librarian,List users,Retrieve all registered library members.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java | src/main/java/org/engripaye/librarymanagementsystem/repository/UserRepository.java,List books,0.6667,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,User controller/repository directly support listing users.,matched_supported_goal,medium,True,True,False,User controller/repository directly support listing users.,matched_supported_goal,medium,True,True,False,User controller/repository directly support listing users.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::2,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,2,Librarian,Get user details,View a specific library member's information by ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java | src/main/java/org/engripaye/librarymanagementsystem/service/UserService.java,View book detail,0.3069,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,User controller/service directly support fetching user details.,matched_supported_goal,medium,True,True,False,User controller/service directly support fetching user details.,matched_supported_goal,medium,True,True,False,User controller/service directly support fetching user details.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::3,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,3,Librarian,Create book,"Add a new book to the library catalog with title, author, ISBN, and total copies.",src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java | src/main/java/org/engripaye/librarymanagementsystem/m...,Add book,0.4,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Book controller/service/model directly support creating books.,matched_supported_goal,high,True,True,False,Book controller/service/model directly support creating books.,matched_supported_goal,high,True,True,False,Book controller/service/model directly support creating books.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::4,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,4,Librarian,Search books,Search the catalog by title or author keyword.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java | src/main/java/org/engripaye/librarymanagementsystem/r...,Search books,1.0,0.6,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Book controller/service/repository directly support searching books.,matched_supported_goal,high,True,True,False,Book controller/service/repository directly support searching books.,matched_supported_goal,high,True,True,False,Book controller/service/repository directly support searching books.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::5,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,5,Librarian,Get book details,View detailed information of a specific book by ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java,View book detail,0.2667,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Book controller/service directly support viewing book details.,matched_supported_goal,medium,True,True,False,Book controller/service directly support viewing book details.,matched_supported_goal,medium,True,True,False,Book controller/service directly support viewing book details.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::6,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,6,Librarian,Borrow book,Librarian lends a book to a member for a specified number of days.,src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java | src/main/java/org/engripaye/librarymanagementsystem/service/LoanService.java | src/main/java/org/engripaye/librarymanagementsystem/d...,Borrow book,1.0,0.6667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Loan controller/service/domain directly support borrowing books.,matched_supported_goal,high,True,True,False,Loan controller/service/domain directly support borrowing books.,matched_supported_goal,high,True,True,False,Loan controller/service/domain directly support borrowing books.
engripaye__library-management-system::random_code_same_budget::deepseek-v4-pro::7,engripaye__library-management-system,random_code_same_budget,deepseek-v4-pro,7,Librarian,Return book,"Record the return of a borrowed book, making it available again.",src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java | src/main/java/org/engripaye/librarymanagementsystem/service/LoanService.java | src/main/java/org/engripaye/librarymanagementsystem/m...,Return borrowed book,0.6667,0.6,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Loan controller/service/model directly support returning books.,matched_supported_goal,high,True,True,False,Loan controller/service/model directly support returning books.,matched_supported_goal,high,True,True,False,Loan controller/service/model directly support returning books.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::0,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,0,Library Staff,Register Library Member,A library staff member creates a new user account by providing full name and email.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java | src/main/java/org/engripaye/librarymanagementsystem/model/AppUser.java,Register library user,0.5,0.4,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,User controller/model directly support registering members.,matched_supported_goal,high,True,True,False,User controller/model directly support registering members.,matched_supported_goal,high,True,True,False,User controller/model directly support registering members.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::1,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,1,Library Staff,Add Book,"Staff adds a new book to the library catalog with title, author, ISBN, total copies, and available copies.",src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java | src/main/java/org/engripaye/librarymanagementsystem/m...,Add book,1.0,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Book controller/service/model directly support adding books.,matched_supported_goal,high,True,True,False,Book controller/service/model directly support adding books.,matched_supported_goal,high,True,True,False,Book controller/service/model directly support adding books.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::2,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,2,Library Member,Browse Books,A library member views all books available in the library.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java,List books,0.3462,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Book controller/service directly support browsing books.,matched_supported_goal,high,True,True,False,Book controller/service directly support browsing books.,matched_supported_goal,high,True,True,False,Book controller/service directly support browsing books.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::3,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,3,Library Member,Search Books,A library member searches for books by title or author using a keyword.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java | src/main/java/org/engripaye/librarymanagementsystem/r...,Search books,1.0,0.6,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Book controller/service/repository directly support searching books.,matched_supported_goal,high,True,True,False,Book controller/service/repository directly support searching books.,matched_supported_goal,high,True,True,False,Book controller/service/repository directly support searching books.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::4,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,4,Library Member,View Book Details,"A library member views detailed information about a specific book, including availability.",src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java,View book detail,0.5,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Book controller/service directly support viewing book details.,matched_supported_goal,high,True,True,False,Book controller/service directly support viewing book details.,matched_supported_goal,high,True,True,False,Book controller/service directly support viewing book details.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::5,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,5,Library Member,Borrow Book,"A library member borrows a book by providing their user ID, book ID, and optionally a loan duration (default 14 days).",src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java | src/main/java/org/engripaye/librarymanagementsystem/service/LoanService.java | src/main/java/org/engripaye/librarymanagementsystem/m...,Borrow book,1.0,0.6667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Loan controller/service/model directly support borrowing books.,matched_supported_goal,high,True,True,False,Loan controller/service/model directly support borrowing books.,matched_supported_goal,high,True,True,False,Loan controller/service/model directly support borrowing books.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::6,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,6,Library Member,Return Book,A library member returns a previously borrowed book using the loan ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java | src/main/java/org/engripaye/librarymanagementsystem/service/LoanService.java,Return borrowed book,0.6667,0.4,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Loan controller/service directly support returning books.,matched_supported_goal,high,True,True,False,Loan controller/service directly support returning books.,matched_supported_goal,high,True,True,False,Loan controller/service directly support returning books.
engripaye__library-management-system::full_selected_context::deepseek-v4-pro::7,engripaye__library-management-system,full_selected_context,deepseek-v4-pro,7,Library Staff,View Member Details,A library staff member retrieves a library member's profile by their ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java | src/main/java/org/engripaye/librarymanagementsystem/service/UserService.java,View book detail,0.2222,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,User controller/service directly support viewing member details.,matched_supported_goal,medium,True,True,False,User controller/service directly support viewing member details.,matched_supported_goal,medium,True,True,False,User controller/service directly support viewing member details.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::0,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,0,Librarian,View all books,Librarian retrieves a list of all books in the library catalog.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java (GET /api/books) | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java,Add book,0.3105,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support listing books.,matched_supported_goal,medium,True,True,False,Controller/service directly support listing books.,matched_supported_goal,medium,True,True,False,Controller/service directly support listing books.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::1,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,1,Librarian,Search books,Librarian searches for books by title or author keyword.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java (GET /api/books/search) | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java#search(),List books,1.0,0.75,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support searching books.,matched_supported_goal,high,True,True,False,Controller/service directly support searching books.,matched_supported_goal,high,True,True,False,Controller/service directly support searching books.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::2,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,2,Librarian,View book details,Librarian retrieves detailed information of a specific book by its ID.,src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java (GET /api/books/{id}) | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java#get(),View book detail,0.5,0.75,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support viewing book details.,matched_supported_goal,medium,True,True,False,Controller/service directly support viewing book details.,matched_supported_goal,medium,True,True,False,Controller/service directly support viewing book details.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::3,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,3,Librarian,Add new book,"Librarian adds a new book to the catalog with title, author, ISBN, and copy counts.",src/main/java/org/engripaye/librarymanagementsystem/controller/BookController.java (POST /api/books) | src/main/java/org/engripaye/librarymanagementsystem/service/BookService.java#create() | src/main/java/org/engripay...,Add book,0.6667,0.6667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service/model directly support adding books.,matched_supported_goal,high,True,True,False,Controller/service/model directly support adding books.,matched_supported_goal,high,True,True,False,Controller/service/model directly support adding books.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::4,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,4,Librarian,View all library users,Librarian retrieves a list of all registered library users.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java (GET /api/users) | src/main/java/org/engripaye/librarymanagementsystem/service/UserService.java,List library users,0.4,0.75,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support listing users.,matched_supported_goal,medium,True,True,False,Controller/service directly support listing users.,matched_supported_goal,medium,True,True,False,Controller/service directly support listing users.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::5,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,5,Librarian,Register new user,Librarian registers a new library user with full name and email.,src/main/java/org/engripaye/librarymanagementsystem/controller/UserController.java (POST /api/users) | src/main/java/org/engripaye/librarymanagementsystem/service/UserService.java | src/main/java/org/engripaye/library...,Register library user,0.5,0.8,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service/model directly support registering users.,matched_supported_goal,medium,True,True,False,Controller/service/model directly support registering users.,matched_supported_goal,medium,True,True,False,Controller/service/model directly support registering users.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::6,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,6,Librarian,Borrow a book,Librarian records a book borrowing for a specific user with a chosen loan duration.,src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java (POST /api/loans/borrow) | src/main/java/org/engripaye/librarymanagementsystem/service/LoanService.java#borrow() | src/main/java/org/e...,Borrow book,1.0,0.6667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support borrowing books.,matched_supported_goal,high,True,True,False,Controller/service directly support borrowing books.,matched_supported_goal,high,True,True,False,Controller/service directly support borrowing books.
engripaye__library-management-system::oracle_upper_bound::deepseek-v4-pro::7,engripaye__library-management-system,oracle_upper_bound,deepseek-v4-pro,7,Librarian,Return a borrowed book,"Librarian records the return of a borrowed book, making the copy available again.",src/main/java/org/engripaye/librarymanagementsystem/controller/LoanController.java (POST /api/loans/{loanId}/return) | src/main/java/org/engripaye/librarymanagementsystem/service/LoanService.java#returnBook(),Return borrowed book,1.0,0.6,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support returning borrowed books.,matched_supported_goal,high,True,True,False,Controller/service directly support returning borrowed books.,matched_supported_goal,high,True,True,False,Controller/service directly support returning borrowed books.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::0,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,0,Admin,Manage Staff,"Admin can add, update, and delete staff member records.",README.md,Manage staff,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README directly supports managing staff.,matched_supported_goal,high,True,True,False,README directly supports managing staff.,matched_supported_goal,high,True,True,False,README directly supports managing staff.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::1,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,1,Admin,Manage Students,"Admin can add, update, and delete student records.",README.md,Manage students,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README directly supports managing students.,matched_supported_goal,high,True,True,False,README directly supports managing students.,matched_supported_goal,high,True,True,False,README directly supports managing students.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::2,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,2,Admin,Review Feedback,Admin reviews and replies to feedback submitted by students and staff.,README.md,Reply to feedback,0.4462,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports reviewing/replying to feedback.,readme_overgeneralization,medium,False,False,False,README supports reviewing/replying to feedback.,readme_overgeneralization,medium,False,False,False,README supports reviewing/replying to feedback.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::3,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,3,Admin,Approve or Reject Leave,Admin reviews leave applications from staff and students and approves or rejects them.,README.md,Review leave applications,0.4235,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports approving/rejecting leave.,readme_overgeneralization,medium,False,False,False,README supports approving/rejecting leave.,readme_overgeneralization,medium,False,False,False,README supports approving/rejecting leave.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::4,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,4,Staff,Take Student Attendance,Staff records or updates attendance for students in their assigned subjects.,README.md,Take student attendance,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README directly supports taking attendance.,matched_supported_goal,high,True,True,False,README directly supports taking attendance.,matched_supported_goal,high,True,True,False,README directly supports taking attendance.
